"Year","Age","Height","Weight","Sprint_40yd","Vertical_Jump","Bench_Press_Reps","Broad_Jump","Agility_3cone","Shuttle","BMI","Player_Type","Position_Type","Position","Drafted","Age_imp","Agility_3cone_imp","Shuttle_imp","Bench_Press_Reps_imp","Broad_Jump_imp","Vertical_Jump_imp","Sprint_40yd_imp","Id"
2013,23,2.01,120.7,4.72,88.9,14,325.12,6.89,4.3,29.96579205,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,931
2013,21,1.91,150.6,5.58,57.15,28,243.84,7.78,5.1,41.49672897,"offense","offensive_lineman","OG",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,932
2013,23,1.88,108.9,4.68,81.28,21,314.96,7.4,4.55,30.81386032,"defense","line_backer","ILB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,933
2013,22,1.93,139.3,5.09,74.93,29,276.86,7.48,4.69,37.36882981,"offense","offensive_lineman","OG",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,934
2013,22,1.8,104.8,4.55,84.33,21,290.01,7.16,4.35,32.21763001,"offense","backs_receivers","RB",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,935
2013,22,1.93,128.4,4.8,80.01,29,284.48,7.32,4.32,34.44748806,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,936
2013,22,1.83,89.4,4.56,83.82,12,307.34,6.78,4.2,26.71772901,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,937
2013,23,1.78,93,4.49,80.01,18,292.1,6.89,4.31,29.41413548,"offense","backs_receivers","RB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,938
2013,23,1.91,140.6,5.14,67.31,32,264.16,7.16,4.64,38.74694572,"defense","defensive_lineman","DT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,939
2013,22,1.85,111.6,4.91,82.55,22,297.18,7.15,4.34,32.45545442,"defense","line_backer","ILB",1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,940
2013,21,1.93,135.6,5.18,64.77,28,256.54,7.7,4.74,36.39504922,"offense","offensive_lineman","OT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,941
2013,22,1.88,137,5.33,76.42,30,271.34,7.34,4.44,38.77410757,"defense","defensive_lineman","DT",1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,942
